ref_code,source_material_id_orig,source_material_id,ref_code_seq
EMOBON00784,ARMS_Gdynia_GDY_20200610_20211222_SF40_DMSO,EMOBON_Gdynia_Ha_3,DBN_AAIJ
EMOBON00785,ARMS_Gdynia_GDY_20200610_20211222_SF40_DMSO_A,EMOBON_Gdynia_Ha_4,DBN_AAIK
EMOBON00786,ARMS_TZS_SPIK_210607-211122_PSF40_DMSO_A,EMOBON_TZS_Ha_1,DBN_AAIL
EMOBON00787,ARMS_TZS_SPIK_210607-211122_PSF40_DMSO_B,EMOBON_TZS_Ha_2,DBN_AAIM
EMOBON00788,ARMS_TZS_SPIK_210607-211122_MF500_DMSO,EMOBON_TZS_Ha_3,DBN_AAIN
EMOBON00789,ARMS_TZS_SPIK_210607-211122_MF100_DMSO,EMOBON_TZS_Ha_4,DBN_AAIO
EMOBON00790,ARMS_TZS_KUMM_210608-211122_PSF_DMSO,EMOBON_TZS_Ha_5,DBN_AAIP
EMOBON00791,ARMS_TZS_KUMM_210608-211122_MF100_DMSO,EMOBON_TZS_Ha_6,DBN_AAIQ
EMOBON00792,ARMS_TZS_KUMM_210608-211122_MF500_DMSO,EMOBON_TZS_Ha_7,DBN_AAIR
EMOBON00793,ARMS_TZS_ANG_210608-211124_PSF40_DMSO_A,EMOBON_TZS_Ha_8,DBN_AAIS
EMOBON00794,ARMS_TZS_ANG_210608-211124_PSF40_DMSO_B,EMOBON_TZS_Ha_9,DBN_AAIT
EMOBON00796,ARMS_TZS_ANG_210608-211124_MF100_DMSO_A,EMOBON_TZS_Ha_11,DBN_AAIU
EMOBON00797,ARMS_TZS_ANG_210608-211124_MF100_DMSO_B,EMOBON_TZS_Ha_12,DBN_AAIV
EMOBON00798,ARMS_TZS_ANG_210608-211124_MF500_DMSO_A,EMOBON_TZS_Ha_13,DBN_AAIW
EMOBON00799,ARMS_TZS_ANG_210608-211124_MF500_DMSO_B,EMOBON_TZS_Ha_14,DBN_AAIX
EMOBON00800,ARMS_TZS_KUMM_210609_220622_SF40_ETOH_A,EMOBON_TZS_Ha_15,DBN_AAIY
EMOBON00801,ARMS_TZS_KUMM_210609_220622_MF100_ETOH,EMOBON_TZS_Ha_16,DBN_AAIZ
EMOBON00802,ARMS_TZS_KUMM_210609_220622_MF500_ETOH,EMOBON_TZS_Ha_17,DBN_AAJA
EMOBON00803,ARMS_TZS_ANG_210609_300622_SF40_ETOH_A,EMOBON_TZS_Ha_18,DBN_AAJB
EMOBON00804,ARMS_TZS_ANG_210609_300622_SF40_ETOH_B,EMOBON_TZS_Ha_19,DBN_AAJC
EMOBON00805,ARMS_TZS_ANG_210609_300622_MF100_ETOH_A,EMOBON_TZS_Ha_20,DBN_AAJD
EMOBON00806,ARMS_TZS_ANG_210609_300622_MF100_ETOH_B,EMOBON_TZS_Ha_21,DBN_AAJE
EMOBON00807,ARMS_TZS_ANG_210609_300622_MF500_ETOH_A,EMOBON_TZS_Ha_22,DBN_AAJF
EMOBON00808,ARMS_Laesoe1_210819-220815_MF100_A,EMOBON_Denmark_Ha_1,DBN_AAJG
EMOBON00809,ARMS_Laesoe1_210819-220815_MF500_A,EMOBON_Denmark_Ha_2,DBN_AAJH
EMOBON00810,ARMS_Laesoe1_210819-220815_SF40_A,EMOBON_Denmark_Ha_3,DBN_AAJI
EMOBON00811,ARMS_Laesoe2_210819-220815_MF100_A,EMOBON_Denmark_Ha_4,DBN_AAJJ
EMOBON00812,ARMS_Laesoe2_210819-220815_MF500_A,EMOBON_Denmark_Ha_5,DBN_AAJK
EMOBON00813,ARMS_Laesoe2_210819-220815_SF40_A,EMOBON_Denmark_Ha_6,DBN_AAJL
EMOBON00814,ARMS_Bodo_GStraM_SF50,EMOBON_Bodo_Ha_1,DBN_AAJM
EMOBON00815,ARMS_Bodo_GStraM_MF125,EMOBON_Bodo_Ha_5,DBN_AAJN
EMOBON00816,ARMS_Bodo_GStraM_MF500,EMOBON_Bodo_Ha_6,DBN_AAJO
EMOBON00817,ARMS_Bodo_GStraB_SF50,EMOBON_Bodo_Ha_4,DBN_AAJP
EMOBON00818,ARMS_Bodo_GStraB_MF125,EMOBON_Bodo_Ha_2,DBN_AAJQ
EMOBON00819,ARMS_Bodo_GStraB_MF500,EMOBON_Bodo_Ha_3,DBN_AAJR

