source_material_id,source_material_id_orig,ref_code_seq,ref_code,nucl_acid_ext,nucl_acid_amp,lib_reads_seqd,lib_layout,target_gene,target_subfragment,ampl_size,pcr_primers,mid,adapters,pcr_cond,seq_quality_check,seq_meth,dna_conc,dna_conc_method,dna_quantity_after_extraction,analysis,run,reads_name,mock_pr,mock_eu,source_mat_id_an,url_seq,sop_seq
EMOBON_Italy_Ha_20,ARMS_RAVM1_20220428-20220718_MF100_A,DBQ_AAFV,EMOBON00650,Quick-DNA Fecal/soil,,1776470,paired,COI,,,,,,,basic Genoscope QC,Illumina NovaSeq 6000,46.2,,4989.6,,,DBQ_AAFVOSTA_2_HW5CMDRX3.UDI062-BID04,,,,,Prod_ILL_BqADN_SuperLowCost_150_v3
EMOBON_Italy_Ha_21,ARMS_RAVM1_20220428-20220718_MF500_A,DBQ_AACM,EMOBON00651,Quick-DNA Fecal/soil,,4286467,paired,18S rRNA,V1-V2,,,,,,basic Genoscope QC,Illumina NovaSeq 6000,20.9,,2257.2,,,DBQ_AACMOSTA_1_HW5CMDRX3.UDI086-BID05,,,,,Prod_ILL_BqADN_SuperLowCost_150_v3
EMOBON_Italy_Ha_21,ARMS_RAVM1_20220428-20220718_MF500_A,DBQ_AAFW,EMOBON00651,Quick-DNA Fecal/soil,,2337812,paired,COI,,,,,,,basic Genoscope QC,Illumina NovaSeq 6000,20.9,,2257.2,,,DBQ_AAFWOSTA_1_HLLHNDRX3.UDI026-BID05,,,,,Prod_ILL_BqADN_SuperLowCost_150_v3
EMOBON_Italy_Ha_22,ARMS_RAVM2_20220428-20220718_SF40_A,DBQ_AACN,EMOBON00652,Quick-DNA Fecal/soil,,4936675,paired,18S rRNA,V1-V2,,,,,,basic Genoscope QC,Illumina NovaSeq 6000,0.583,,63,,,DBQ_AACNOSTA_1_HW5CMDRX3.UDI027-BID05,,,,,Prod_ILL_BqADN_SuperLowCost_150_v3
EMOBON_Italy_Ha_22,ARMS_RAVM2_20220428-20220718_SF40_A,DBQ_AAFX,EMOBON00652,Quick-DNA Fecal/soil,,2484934,paired,COI,,,,,,,basic Genoscope QC,Illumina NovaSeq 6000,0.583,,63,,,DBQ_AAFXOSTA_1_HLLHNDRX3.UDI002-BID05,,,,,Prod_ILL_BqADN_SuperLowCost_150_v3
EMOBON_Italy_Ha_23,ARMS_RAVM2_20220428-20220718_MF100_A,DBQ_AACO,EMOBON00653,Quick-DNA Fecal/soil,,5519950,paired,18S rRNA,V1-V2,,,,,,basic Genoscope QC,Illumina NovaSeq 6000,25.3,,2732.4,,,DBQ_AACOOSTA_1_HW5CMDRX3.UDI015-BID05,,,,,Prod_ILL_BqADN_SuperLowCost_150_v3
EMOBON_Italy_Ha_23,ARMS_RAVM2_20220428-20220718_MF100_A,DBQ_AAFY,EMOBON00653,Quick-DNA Fecal/soil,,1853459,paired,COI,,,,,,,basic Genoscope QC,Illumina NovaSeq 6000,25.3,,2732.4,,,DBQ_AAFYOSTA_1_HLLHNDRX3.UDI073-BID05,,,,,Prod_ILL_BqADN_SuperLowCost_150_v3
EMOBON_Italy_Ha_24,ARMS_RAVM2_20220428-20220718_MF500_A,DBQ_AAIT,EMOBON00654,Quick-DNA Fecal/soil,,5270232,paired,18S rRNA,V1-V2,,,,,,basic Genoscope QC,Illumina NovaSeq 6000,11.75,,1269,,,DBQ_AAITOSTA_1_HW5CMDRX3.UDI003-BID11,,,,,Prod_ILL_BqADN_SuperLowCost_150_v3
EMOBON_Italy_Ha_24,ARMS_RAVM2_20220428-20220718_MF500_A,DBQ_AAFZ,EMOBON00654,Quick-DNA Fecal/soil,,2133558,paired,COI,,,,,,,basic Genoscope QC,Illumina NovaSeq 6000,11.75,,1269,,,DBQ_AAFZOSTA_2_HW5CMDRX3.UDI074-BID05,,,,,Prod_ILL_BqADN_SuperLowCost_150_v3
EMOBON_Italy_Ha_25,ARMS_RAVM3_20220428-20220718_SF40_A,DBQ_AACQ,EMOBON00655,Quick-DNA Fecal/soil,,5283855,paired,18S rRNA,V1-V2,,,,,,basic Genoscope QC,Illumina NovaSeq 6000,0.752,,81.2,,,DBQ_AACQOSTA_1_HW5CMDRX3.UDI051-BID05,,,,,Prod_ILL_BqADN_SuperLowCost_150_v3
