old_source_mat_id,ref_code,ref_code_seq,ena_accession_number_sample,ena_accession_number_experiment_metag,ena_accession_number_experiment_metab,ena_accession_number_run_metag,ena_accession_number_run_metab,ena_accession_number_project,ena_accession_number_umbrella,biosamples_accession_number,source_mat_id
NR_1 - 29/12/21_SF_rep1,EMOBON00561,DBN_AAAI,ERS29756235,NA,to_be_added,NA,to_be_added,PRJEB48198,PRJEB51688,SAMEA122216712,EMOBON_IUIEilat_Ha_1
NR_1 - 29/12/21_SF_rep2,EMOBON00562,DBN_AAAJ,ERS29756236,NA,to_be_added,NA,to_be_added,PRJEB48198,PRJEB51688,SAMEA122216713,EMOBON_IUIEilat_Ha_2
NR_1 - 29/12/21_MF100_rep1,EMOBON00563,DBN_AAAK,ERS29756237,NA,to_be_added,NA,to_be_added,PRJEB48198,PRJEB51688,SAMEA122216714,EMOBON_IUIEilat_Ha_3
NR_1 - 29/12/21_MF100_rep2,EMOBON00564,DBN_AAAL,ERS29756238,NA,to_be_added,NA,to_be_added,PRJEB48198,PRJEB51688,SAMEA122216715,EMOBON_IUIEilat_Ha_4
NR_1 - 29/12/21_MF500_rep1,EMOBON00565,DBN_AAAM,ERS29756239,NA,to_be_added,NA,to_be_added,PRJEB48198,PRJEB51688,SAMEA122216716,EMOBON_IUIEilat_Ha_5
NR_1 - 29/12/21_MF500_rep2,EMOBON00566,DBN_AAAN,ERS29756240,NA,to_be_added,NA,to_be_added,PRJEB48198,PRJEB51688,SAMEA122216717,EMOBON_IUIEilat_Ha_6
NR_2 - 03/01/22_SF_rep1,EMOBON00567,DBN_AAAO,ERS29756241,NA,to_be_added,NA,to_be_added,PRJEB48198,PRJEB51688,SAMEA122216718,EMOBON_IUIEilat_Ha_7
NR_2 - 03/01/22_SF_rep1,EMOBON00567,DBN_AAAO,ERS29756242,NA,to_be_added,NA,to_be_added,PRJEB48198,PRJEB51688,SAMEA122216719,EMOBON_IUIEilat_Ha_7
NR_2 - 03/01/22_SF_rep2,EMOBON00568,DBN_AAAP,ERS29756243,NA,to_be_added,NA,to_be_added,PRJEB48198,PRJEB51688,SAMEA122216720,EMOBON_IUIEilat_Ha_8
NR_2 - 03/01/22_SF_rep2,EMOBON00568,DBN_AAAP,ERS29756244,NA,to_be_added,NA,to_be_added,PRJEB48198,PRJEB51688,SAMEA122216721,EMOBON_IUIEilat_Ha_8
NR_2 - 03/01/22_MF100_rep1,EMOBON00569,DBN_AAAQ,ERS29756245,NA,to_be_added,NA,to_be_added,PRJEB48198,PRJEB51688,SAMEA122216722,EMOBON_IUIEilat_Ha_9
NR_2 - 03/01/22_MF100_rep1,EMOBON00569,DBN_AAAQ,ERS29756246,NA,to_be_added,NA,to_be_added,PRJEB48198,PRJEB51688,SAMEA122216723,EMOBON_IUIEilat_Ha_9
NR_2 - 03/01/22_MF100_rep2,EMOBON00570,DBN_AAAR,ERS29756247,NA,to_be_added,NA,to_be_added,PRJEB48198,PRJEB51688,SAMEA122216724,EMOBON_IUIEilat_Ha_10
NR_2 - 03/01/22_MF500_rep1,EMOBON00571,DBN_AAAS,ERS29756248,NA,to_be_added,NA,to_be_added,PRJEB48198,PRJEB51688,SAMEA122216725,EMOBON_IUIEilat_Ha_11
NR_2 - 03/01/22_MF500_rep2,EMOBON00572,DBN_AAAT,ERS29756249,NA,to_be_added,NA,to_be_added,PRJEB48198,PRJEB51688,SAMEA122216726,EMOBON_IUIEilat_Ha_12
NR_3 - 05/01/22_SF_rep1,EMOBON00573,DBN_AAAU,ERS29756250,NA,to_be_added,NA,to_be_added,PRJEB48198,PRJEB51688,SAMEA122216727,EMOBON_IUIEilat_Ha_13
