old_source_mat_id,ref_code,ref_code_seq,ena_accession_number_sample,ena_accession_number_experiment_metag,ena_accession_number_run_metag,ena_accession_number_project,ena_accession_number_umbrella,biosamples_accession_number,source_mat_id
EMOBON_ROSKOGO_Wa_210618_3um_1,EMOBON00015,,ERS20568923,ERX13355908,ERR13954813,PRJEB51662,PRJEB51688,SAMEA115828406,EMOBON_ROSKOGO_Wa_1
EMOBON_ROSKOGO_Wa_210618_3um_2,EMOBON00016,,ERS20568924,ERX13355909,ERR13954814,PRJEB51662,PRJEB51688,SAMEA115828407,EMOBON_ROSKOGO_Wa_2
EMOBON_ROSKOGO_Wa_210802_0.2um_1,EMOBON00021,,ERS20568927,ERX13355912,ERR13954817,PRJEB51662,PRJEB51688,SAMEA115828410,EMOBON_ROSKOGO_Wa_17
EMOBON_ROSKOGO_Wa_210802_0.2um_2,EMOBON00022,,ERS20568928,ERX13355913,ERR13954818,PRJEB51662,PRJEB51688,SAMEA115828411,EMOBON_ROSKOGO_Wa_18
EMOBON_ROSKOGO_Wa_210802_3um_1,EMOBON00019,,ERS20568925,ERX13355910,ERR13954815,PRJEB51662,PRJEB51688,SAMEA115828408,EMOBON_ROSKOGO_Wa_13
EMOBON_ROSKOGO_Wa_210802_3um_2,EMOBON00020,,ERS20568926,ERX13355911,ERR13954816,PRJEB51662,PRJEB51688,SAMEA115828409,EMOBON_ROSKOGO_Wa_14
EMOBON_VB_Wa_210621_0.2um_1,EMOBON00025,,ERS20569044,ERX13355831,ERR13954736,PRJEB51664,PRJEB51688,SAMEA115828527,EMOBON_VB_Wa_4
EMOBON_VB_Wa_210621_0.2um_2,EMOBON00026,,ERS20569045,ERX13355832,ERR13954737,PRJEB51664,PRJEB51688,SAMEA115828528,EMOBON_VB_Wa_5
EMOBON_VB_Wa_210621_3um_1,EMOBON00023,,ERS20569042,ERX13355829,ERR13954734,PRJEB51664,PRJEB51688,SAMEA115828525,EMOBON_VB_Wa_1
EMOBON_VB_Wa_210621_3um_2,EMOBON00024,,ERS20569043,ERX13355830,ERR13954735,PRJEB51664,PRJEB51688,SAMEA115828526,EMOBON_VB_Wa_2
EMOBON_VB_Wa_210823_0.2um_1,EMOBON00029,,ERS20569048,ERX13355835,ERR13954740,PRJEB51664,PRJEB51688,SAMEA115828531,EMOBON_VB_Wa_43
EMOBON_VB_Wa_210823_0.2um_2,EMOBON00030,DBB_AABV,ERS14961281,ERX13332419,ERR13930537,PRJEB51664,PRJEB51688,SAMEA112966252,EMOBON_VB_Wa_44
EMOBON_VB_Wa_210823_3um_1,EMOBON00027,,ERS20569046,ERX13355833,ERR13954738,PRJEB51664,PRJEB51688,SAMEA115828529,EMOBON_VB_Wa_41
EMOBON_VB_Wa_210823_3um_2,EMOBON00028,,ERS20569047,ERX13355834,ERR13954739,PRJEB51664,PRJEB51688,SAMEA115828530,EMOBON_VB_Wa_42
