source_mat_id_orig,source_mat_id,source_mat_id_an,ref_code,ref_code_sam,ref_code_seq,nucl_acid_ext,nucl_acid_amp,lib_reads_seqd,lib_layout,target_gene,target_subfragment,ampl_size,pcr_primers,mid,adapters,pcr_cond,seq_quality_check,instrument_model,dna_conc,dna_quant,dna_conc_method,library_source,run,reads_name,reads_name_rsq,mock_pr,mock_eu,url_seq,sop_seq,ENA_accesion_number_umbrella,ENA_accesion_number_project,extraction_blank,pcr_blank_1,pcr_blank_2,seq_batch,comment,flowcell,no_cycl_R1,lane,tag,dna_quant_lib,run_date,hom_percentage,QC_valid,QC_summary,bioinf_valid
EMOBON_OOB_So_210608_micro_1,EMOBON_OOB_So_1,EMOBON_OOB_So_1_metag,EMOBON00001,DBG_AAAA,DBH_AAAA,https://www.qiagen.com/us/products/discovery-and-translational-research/dna-rna-purification/dna-purification/microbial-dna/dneasy-powersoil-pro-kit?catno=47016,metag,58079642,PAIRED,metag,metag,metag,metag,NA,NA,DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:10,software,Illumina NovaSeq 6000,1.7,125.8,Qubit dsDNA BR (Broad range) Assays kit; Qubit 2.0 Fluorometer,METAGENOMIC,220223_JARVIS_HWLTKDRXY,DBH_AAAAOSDA_1_HWLTKDRXY.UDI235,NA,DDC_AAAAOSDA_1_HWLTKDRXY.UDI212,DDC_AAABOSDA_1_HWLTKDRXY.UDI213,NA,Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II,PRJEB51688,PRJEB51665,NA,NA,NA,batch_1,NA,SP,151,1,UDI235,85,23-02-22,0.01,Y,Adaptateurs/Kmers,Y
EMOBON_ESC68N_Wa_210830_3um_1,EMOBON_ESC68N_Wa_1,EMOBON_ESC68N_Wa_1_metag,EMOBON00003,DBD_AAAK,DBB_AABC,https://www.protocols.io/view/cryogrinding-protocol-mecanic-lysis-of-planktonic-n92ldyq88l5b/v1; https://www.protocols.io/view/rna-dna-extraction-from-plankton-natural-samples-u-eq2lynz2qvx9/v1; https://www.fishersci.com/shop/products/nucleospin-rna-ii-740955-250/NC0707522; https://www.mn-net.com/lysis-buffer-ra1-740961,metag,85129819,PAIRED,metag,metag,metag,metag,NA,NA,DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:10,software,Illumina NovaSeq 6000,3.69,361.6,Qubit dsDNA BR (Broad range) Assays kit; Qubit 2.0 Fluorometer,METAGENOMIC,220622_JARVIS_HMGW5DSX3,DBB_AABCOSDA_4_HMGW5DSX3.UDI207,NA,DDC_AAAAOSDA_4_HMGW5DSX3.UDI201,DDC_AAABOSDA_4_HMGW5DSX3.UDI213,NA,Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II,PRJEB51688,PRJEB51654,NA,NA,NA,batch_1,NA,S4,151,4,UDI207,100,22-06-22,0.17,Y,Dimère adaptateur,Y
EMOBON_ESC68N_Wa_210830_3um_2,EMOBON_ESC68N_Wa_2,EMOBON_ESC68N_Wa_2_metag,EMOBON00004,DBD_AAAL,DBB_AABD,https://www.protocols.io/view/cryogrinding-protocol-mecanic-lysis-of-planktonic-n92ldyq88l5b/v1; https://www.protocols.io/view/rna-dna-extraction-from-plankton-natural-samples-u-eq2lynz2qvx9/v1; https://www.fishersci.com/shop/products/nucleospin-rna-ii-740955-250/NC0707522; https://www.mn-net.com/lysis-buffer-ra1-740961,metag,81370157,PAIRED,metag,metag,metag,metag,NA,NA,DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:10,software,Illumina NovaSeq 6000,5.05,494.9,Qubit dsDNA BR (Broad range) Assays kit; Qubit 2.0 Fluorometer,METAGENOMIC,220622_JARVIS_HMGW5DSX3,DBB_AABDOSDA_4_HMGW5DSX3.UDI219,NA,DDC_AAAAOSDA_4_HMGW5DSX3.UDI201,DDC_AAABOSDA_4_HMGW5DSX3.UDI213,NA,Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II,PRJEB51688,PRJEB51654,NA,NA,NA,batch_1,NA,S4,151,4,UDI219,100,22-06-22,0.21,Y,Dimère adaptateur,Y
EMOBON_ESC68N_Wa_210830_0.2um_1,EMOBON_ESC68N_Wa_3,EMOBON_ESC68N_Wa_3_metag,EMOBON00005,DBD_AAAM,DBB_AABE,https://www.protocols.io/view/cryogrinding-protocol-mecanic-lysis-of-planktonic-n92ldyq88l5b/v1; https://www.protocols.io/view/rna-dna-extraction-from-plankton-natural-samples-u-eq2lynz2qvx9/v1; https://www.fishersci.com/shop/products/nucleospin-rna-ii-740955-250/NC0707522; https://www.mn-net.com/lysis-buffer-ra1-740961,metag,52904712,PAIRED,metag,metag,metag,metag,NA,NA,DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:10,software,Illumina NovaSeq 6000,4.29,420.4,Qubit dsDNA BR (Broad range) Assays kit; Qubit 2.0 Fluorometer,METAGENOMIC,220712_JARVIS_HMNJKDSX3,DBB_AABEOSDA_1_HMNJKDSX3.UDI231,NA,DDC_AAAAOSDA_1_HMNJKDSX3.UDI201,NA,NA,Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II,PRJEB51688,PRJEB51654,NA,NA,NA,batch_1,NA,S4,151,1,UDI231,100,12-07-22,0.02,Y,"Duplicat pairs > 20,Adaptateurs/Kmers",Y
EMOBON_ESC68N_Wa_210830_0.2um_2,EMOBON_ESC68N_Wa_4,EMOBON_ESC68N_Wa_4_metag,EMOBON00006,DBD_AAAN,DBB_AABF,https://www.protocols.io/view/cryogrinding-protocol-mecanic-lysis-of-planktonic-n92ldyq88l5b/v1; https://www.protocols.io/view/rna-dna-extraction-from-plankton-natural-samples-u-eq2lynz2qvx9/v1; https://www.fishersci.com/shop/products/nucleospin-rna-ii-740955-250/NC0707522; https://www.mn-net.com/lysis-buffer-ra1-740961,metag,54961453,PAIRED,metag,metag,metag,metag,NA,NA,DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:10,software,Illumina NovaSeq 6000,1.495,146.5,Qubit dsDNA BR (Broad range) Assays kit; Qubit 2.0 Fluorometer,METAGENOMIC,220712_JARVIS_HMNJKDSX3,DBB_AABFOSDA_4_HMNJKDSX3.UDI228,NA,DDC_AAAAOSDA_1_HMNJKDSX3.UDI201,NA,NA,Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II,PRJEB51688,PRJEB51654,NA,NA,NA,batch_1,NA,S4,151,4,UDI228,50,12-07-22,0.03,Y,Duplicat pairs > 20,Y
EMOBON_BPNS_Wa_210701_3um_1,EMOBON_BPNS_Wa_1,EMOBON_BPNS_Wa_1_metag,EMOBON00007,DBD_AACR,DBB_AACS,https://www.protocols.io/view/cryogrinding-protocol-mecanic-lysis-of-planktonic-n92ldyq88l5b/v1; https://www.protocols.io/view/rna-dna-extraction-from-plankton-natural-samples-u-eq2lynz2qvx9/v1; https://www.fishersci.com/shop/products/nucleospin-rna-ii-740955-250/NC0707522; https://www.mn-net.com/lysis-buffer-ra1-740961,metag,74391439,PAIRED,metag,metag,metag,metag,NA,NA,DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:10,software,Illumina NovaSeq 6000,9.37,918.3,Qubit dsDNA BR (Broad range) Assays kit; Qubit 2.0 Fluorometer,METAGENOMIC,220622_JARVIS_HMGW5DSX3,DBB_AACSOSDA_4_HMGW5DSX3.UDI199,NA,DDC_AAAAOSDA_4_HMGW5DSX3.UDI201,DDC_AAABOSDA_4_HMGW5DSX3.UDI213,NA,Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II,PRJEB51688,PRJEB51652,NA,NA,NA,batch_1,NA,S4,151,4,UDI199,100,22-06-22,0.23,Y,"Duplicat pairs > 20,Adaptateurs/Kmers",Y
EMOBON_BPNS_Wa_210701_3um_2,EMOBON_BPNS_Wa_2,EMOBON_BPNS_Wa_2_metag,EMOBON00008,DBD_AACS,DBB_AACT,https://www.protocols.io/view/cryogrinding-protocol-mecanic-lysis-of-planktonic-n92ldyq88l5b/v1; https://www.protocols.io/view/rna-dna-extraction-from-plankton-natural-samples-u-eq2lynz2qvx9/v1; https://www.fishersci.com/shop/products/nucleospin-rna-ii-740955-250/NC0707522; https://www.mn-net.com/lysis-buffer-ra1-740961,metag,87844664,PAIRED,metag,metag,metag,metag,NA,NA,DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:10,software,Illumina NovaSeq 6000,2.45,240.1,Qubit dsDNA BR (Broad range) Assays kit; Qubit 2.0 Fluorometer,METAGENOMIC,220622_JARVIS_HMGW5DSX3,DBB_AACTOSDA_4_HMGW5DSX3.UDI211,NA,DDC_AAAAOSDA_4_HMGW5DSX3.UDI201,DDC_AAABOSDA_4_HMGW5DSX3.UDI213,NA,Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II,PRJEB51688,PRJEB51652,NA,NA,NA,batch_1,NA,S4,151,4,UDI211,100,22-06-22,0.26,Y,"Duplicat pairs > 20,Adaptateurs/Kmers",Y
EMOBON_BPNS_Wa_210701_0.2um_1,EMOBON_BPNS_Wa_7,EMOBON_BPNS_Wa_7_metag,EMOBON00009,DBD_AACT,DBB_AACU,https://www.protocols.io/view/cryogrinding-protocol-mecanic-lysis-of-planktonic-n92ldyq88l5b/v1; https://www.protocols.io/view/rna-dna-extraction-from-plankton-natural-samples-u-eq2lynz2qvx9/v1; https://www.fishersci.com/shop/products/nucleospin-rna-ii-740955-250/NC0707522; https://www.mn-net.com/lysis-buffer-ra1-740961,metag,57150226,PAIRED,metag,metag,metag,metag,NA,NA,DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:10,software,Illumina NovaSeq 6000,17.85,1749.3,Qubit dsDNA BR (Broad range) Assays kit; Qubit 2.0 Fluorometer,METAGENOMIC,220712_JARVIS_HMNJKDSX3,DBB_AACUOSDA_1_HMNJKDSX3.UDI223,NA,DDC_AAAAOSDA_1_HMNJKDSX3.UDI201,NA,NA,Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II,PRJEB51688,PRJEB51652,NA,NA,NA,batch_1,NA,S4,151,1,UDI223,100,12-07-22,0.01,Y,"Duplicat pairs > 20,Adaptateurs/Kmers",Y
EMOBON_BPNS_Wa_210701_0.2um_2,EMOBON_BPNS_Wa_6,EMOBON_BPNS_Wa_6_metag,EMOBON00010,DBD_AACU,DBB_AACV,https://www.protocols.io/view/cryogrinding-protocol-mecanic-lysis-of-planktonic-n92ldyq88l5b/v1; https://www.protocols.io/view/rna-dna-extraction-from-plankton-natural-samples-u-eq2lynz2qvx9/v1; https://www.fishersci.com/shop/products/nucleospin-rna-ii-740955-250/NC0707522; https://www.mn-net.com/lysis-buffer-ra1-740961,metag,59885936,PAIRED,metag,metag,metag,metag,NA,NA,DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:10,software,Illumina NovaSeq 6000,19.2,2016,Qubit dsDNA BR (Broad range) Assays kit; Qubit 2.0 Fluorometer,METAGENOMIC,220712_JARVIS_HMNJKDSX3,DBB_AACVOSDA_1_HMNJKDSX3.UDI235,NA,DDC_AAAAOSDA_1_HMNJKDSX3.UDI201,NA,NA,Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II,PRJEB51688,PRJEB51652,NA,NA,NA,batch_1,NA,S4,151,1,UDI235,100,12-07-22,0.01,Y,"Duplicat pairs > 20,Adaptateurs/Kmers",Y
EMOBON_BPNS_Wa_210825_3um_1,EMOBON_BPNS_Wa_21,EMOBON_BPNS_Wa_21_metag,EMOBON00011,DBD_AACV,DBB_AACW,https://www.protocols.io/view/cryogrinding-protocol-mecanic-lysis-of-planktonic-n92ldyq88l5b/v1; https://www.protocols.io/view/rna-dna-extraction-from-plankton-natural-samples-u-eq2lynz2qvx9/v1; https://www.fishersci.com/shop/products/nucleospin-rna-ii-740955-250/NC0707522; https://www.mn-net.com/lysis-buffer-ra1-740961,metag,70644143,PAIRED,metag,metag,metag,metag,NA,NA,DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:10,software,Illumina NovaSeq 6000,18.65,1827.7,Qubit dsDNA BR (Broad range) Assays kit; Qubit 2.0 Fluorometer,METAGENOMIC,220622_JARVIS_HMGW5DSX3,DBB_AACWOSDA_4_HMGW5DSX3.UDI247,NA,DDC_AAAAOSDA_4_HMGW5DSX3.UDI201,DDC_AAABOSDA_4_HMGW5DSX3.UDI213,NA,Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II,PRJEB51688,PRJEB51652,NA,NA,NA,batch_1,NA,S4,151,4,UDI247,100,22-06-22,0.3,Y,Adaptateurs/Kmers,Y
