Checklist	ERC000024	GSC MIxS water
tax_id	scientific_name	sample_alias	sample_title	sample_description	project name	collection date	geographic location (country and/or sea)	geographic location (latitude)	geographic location (longitude)	broad-scale environmental context	local environmental context	environmental medium	depth	source material identifiers	chlorophyll	chlorophyll method	sea surface temperature	sea surface temperature method	sea subsurface temperature	sea subsurface temperature method	salinity	salinity method	subsurface salinity	subsurface salinity method	ammonium	ammonium method	conductivity	conductivity method	density	density method	downward PAR	downward PAR method	dissolved oxygen	dissolved oxygen method	nitrate	nitrate method	nitrite	nitrite method	organism count	organism count method	ph	ph method	phaeopigments	phaeopigments method	phosphate	phosphate method	pigments	pigments method	pressure	pressure method	silicate	silicate method	sulfide	sulfide method	turbidity	turbidity method	obs_id	geographic location (ocean)	geographic location (region and locality)	geographic location (locality)	total depth of water column	tidal stage information	amount or size of sample collected	sample collection device	sample material processing	sample storage location	sample storage temperature	tidal stage	source_material_identifiers	nucleic acid extraction	nucleic acid amplification	library reads sequenced	target gene	target subfragment	pcr primers	pcr conditions	sequence quality check	sequencing method	dna concentration	run	mock_pr	mock_eu	relevant standard operating procedures	sequence_batch	size-fraction lower threshold	size-fraction upper threshold	sequence_batch_rundate	status
#units	 	 	 	 	 	 	 	DD	DD	 	 	 	m		µg/L		ºC		ºC		psu		psu		µmol/L		mS/cm		g/m3		µE/m2/s		µmol/kg		µmol/L		µmol/L						µg/L		µmol/L		µg/L		atm		µmol/L		µmol/L		FTU								L				ºC												ng/µl						µm	µm		
1874687	marine plankton metagenome	EMOBON00182	EMOBON_ROSKOGO_Wa_211014_3um_1	EMOBON metagenome water sample from station ROSKOGO collected on 2021-10-14 size fraction 3-200um	EMOBON	2021-10-14	France	48.771667	-3.968333	marine biome [ENVO:00000447];marine pelagic biome [ENVO:01000023]	marine pelagic feature [ENVO:01000044];marine water body [ENVO:00001999];costal water body [ENVO:02000049]	seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042]	2	EMOBON_ROSKOGO_Wa_211014_3um_1																																											ROSKOGO	North Atlantic Ocean	English Channel	French part of the English Channel	60	flood_tide	7.5	Hand pump	WaSOP 1		-80	high	EMOBON_ROSKOGO_Wa_211014_3um_1	https://www.protocols.io/view/cryogrinding-protocol-mecanic-lysis-of-planktonic-n92ldyq88l5b/v1; https://www.protocols.io/view/rna-dna-extraction-from-plankton-natural-samples-u-eq2lynz2qvx9/v1; https://www.fishersci.com/shop/products/nucleospin-rna-ii-740955-250/NC0707522; https://www.mn-net.com/lysis-buffer-ra1-740961	metag	56253476	metag	metag	metag	DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:10	manual	Illumina NovaSeq 6000	4.99	230428_JARVIS_HVWGWDSX5	DDC_AAACOSDA_1_HVWGWDSX5.UDI164;DDC_AAACOSDA_1_HVWGWDSX5.UDI218	DDC_AAABOSDA_2_HVWGWDSX5.UDI143;DDC_AAABOSDA_2_HVWGWDSX5.UDI217		Batch2	3	200	Batch2_230428	sample
1874687	marine plankton metagenome	EMOBON00183	EMOBON_ROSKOGO_Wa_211014_3um_2	EMOBON metagenome water sample from station ROSKOGO collected on 2021-10-14 size fraction 3-200um	EMOBON	2021-10-14	France	48.771667	-3.968333	marine biome [ENVO:00000447];marine pelagic biome [ENVO:01000023]	marine pelagic feature [ENVO:01000044];marine water body [ENVO:00001999];costal water body [ENVO:02000049]	seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042]	2	EMOBON_ROSKOGO_Wa_211014_3um_2																																											ROSKOGO	North Atlantic Ocean	English Channel	French part of the English Channel	60	flood_tide	7.5	Hand pump	WaSOP 1		-80	high	EMOBON_ROSKOGO_Wa_211014_3um_2	https://www.protocols.io/view/cryogrinding-protocol-mecanic-lysis-of-planktonic-n92ldyq88l5b/v1; https://www.protocols.io/view/rna-dna-extraction-from-plankton-natural-samples-u-eq2lynz2qvx9/v1; https://www.fishersci.com/shop/products/nucleospin-rna-ii-740955-250/NC0707522; https://www.mn-net.com/lysis-buffer-ra1-740961	metag	67118293	metag	metag	metag	DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:10	manual	Illumina NovaSeq 6000	6	230428_JARVIS_HVWGWDSX5	DDC_AAACOSDA_1_HVWGWDSX5.UDI164;DDC_AAACOSDA_1_HVWGWDSX5.UDI218	DDC_AAABOSDA_2_HVWGWDSX5.UDI143;DDC_AAABOSDA_2_HVWGWDSX5.UDI217		Batch2	3	200	Batch2_230428	sample
1874687	marine plankton metagenome	EMOBON00184	EMOBON_ROSKOGO_Wa_211014_0.2um_1	EMOBON metagenome water sample from station ROSKOGO collected on 2021-10-14 size fraction 0.2-3um	EMOBON	2021-10-14	France	48.771667	-3.968333	marine biome [ENVO:00000447];marine pelagic biome [ENVO:01000023]	marine pelagic feature [ENVO:01000044];marine water body [ENVO:00001999];costal water body [ENVO:02000049]	seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042]	2	EMOBON_ROSKOGO_Wa_211014_0.2um_1																																											ROSKOGO	North Atlantic Ocean	English Channel	French part of the English Channel	60	flood_tide	7.5	Hand pump	WaSOP 1		-80	high	EMOBON_ROSKOGO_Wa_211014_0.2um_1	https://www.protocols.io/view/cryogrinding-protocol-mecanic-lysis-of-planktonic-n92ldyq88l5b/v1; https://www.protocols.io/view/rna-dna-extraction-from-plankton-natural-samples-u-eq2lynz2qvx9/v1; https://www.fishersci.com/shop/products/nucleospin-rna-ii-740955-250/NC0707522; https://www.mn-net.com/lysis-buffer-ra1-740961	metag	67481588	metag	metag	metag	DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:10	manual	Illumina NovaSeq 6000	27.2	230428_JARVIS_HVWGWDSX5	DDC_AAACOSDA_1_HVWGWDSX5.UDI164;DDC_AAACOSDA_1_HVWGWDSX5.UDI218	DDC_AAABOSDA_2_HVWGWDSX5.UDI143;DDC_AAABOSDA_2_HVWGWDSX5.UDI217		Batch2	0.2	3	Batch2_230428	sample
1874687	marine plankton metagenome	EMOBON00185	EMOBON_ROSKOGO_Wa_211014_0.2um_2	EMOBON metagenome water sample from station ROSKOGO collected on 2021-10-14 size fraction 0.2-3um	EMOBON	2021-10-14	France	48.771667	-3.968333	marine biome [ENVO:00000447];marine pelagic biome [ENVO:01000023]	marine pelagic feature [ENVO:01000044];marine water body [ENVO:00001999];costal water body [ENVO:02000049]	seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042]	2	EMOBON_ROSKOGO_Wa_211014_0.2um_2																																											ROSKOGO	North Atlantic Ocean	English Channel	French part of the English Channel	60	flood_tide	7.5	Hand pump	WaSOP 1		-80	high	EMOBON_ROSKOGO_Wa_211014_0.2um_2	https://www.protocols.io/view/cryogrinding-protocol-mecanic-lysis-of-planktonic-n92ldyq88l5b/v1; https://www.protocols.io/view/rna-dna-extraction-from-plankton-natural-samples-u-eq2lynz2qvx9/v1; https://www.fishersci.com/shop/products/nucleospin-rna-ii-740955-250/NC0707522; https://www.mn-net.com/lysis-buffer-ra1-740961	metag	58752216	metag	metag	metag	DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:10	manual	Illumina NovaSeq 6000	29.5	230428_JARVIS_HVWGWDSX5	DDC_AAACOSDA_1_HVWGWDSX5.UDI164;DDC_AAACOSDA_1_HVWGWDSX5.UDI218	DDC_AAABOSDA_2_HVWGWDSX5.UDI143;DDC_AAABOSDA_2_HVWGWDSX5.UDI217		Batch2	0.2	3	Batch2_230428	sample
1874687	marine plankton metagenome	EMOBON00188	EMOBON_ROSKOGO_Wa_211213_3um_1	EMOBON metagenome water sample from station ROSKOGO collected on 2021-12-13 size fraction 3-200um	EMOBON	2021-12-13	France	48.771667	-3.968333	marine biome [ENVO:00000447];marine pelagic biome [ENVO:01000023]	marine pelagic feature [ENVO:01000044];marine water body [ENVO:00001999];costal water body [ENVO:02000049]	seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042]	2	EMOBON_ROSKOGO_Wa_211213_3um_1																																											ROSKOGO	North Atlantic Ocean	English Channel	French part of the English Channel	60	flood_tide	7.5	Hand pump	WaSOP 1			high	EMOBON_ROSKOGO_Wa_211213_3um_1	https://www.protocols.io/view/cryogrinding-protocol-mecanic-lysis-of-planktonic-n92ldyq88l5b/v1; https://www.protocols.io/view/rna-dna-extraction-from-plankton-natural-samples-u-eq2lynz2qvx9/v1; https://www.fishersci.com/shop/products/nucleospin-rna-ii-740955-250/NC0707522; https://www.mn-net.com/lysis-buffer-ra1-740961	metag	61047537	metag	metag	metag	DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:10	manual	Illumina NovaSeq 6000	6.41	230428_JARVIS_HVWGWDSX5	DDC_AAACOSDA_1_HVWGWDSX5.UDI164;DDC_AAACOSDA_1_HVWGWDSX5.UDI218	DDC_AAABOSDA_2_HVWGWDSX5.UDI143;DDC_AAABOSDA_2_HVWGWDSX5.UDI217		Batch2	3	200	Batch2_230428	sample
1874687	marine plankton metagenome	EMOBON00189	EMOBON_ROSKOGO_Wa_211213_3um_2	EMOBON metagenome water sample from station ROSKOGO collected on 2021-12-13 size fraction 3-200um	EMOBON	2021-12-13	France	48.771667	-3.968333	marine biome [ENVO:00000447];marine pelagic biome [ENVO:01000023]	marine pelagic feature [ENVO:01000044];marine water body [ENVO:00001999];costal water body [ENVO:02000049]	seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042]	2	EMOBON_ROSKOGO_Wa_211213_3um_2																																											ROSKOGO	North Atlantic Ocean	English Channel	French part of the English Channel	60	flood_tide	7.5	Hand pump	WaSOP 1			high	EMOBON_ROSKOGO_Wa_211213_3um_2	https://www.protocols.io/view/cryogrinding-protocol-mecanic-lysis-of-planktonic-n92ldyq88l5b/v1; https://www.protocols.io/view/rna-dna-extraction-from-plankton-natural-samples-u-eq2lynz2qvx9/v1; https://www.fishersci.com/shop/products/nucleospin-rna-ii-740955-250/NC0707522; https://www.mn-net.com/lysis-buffer-ra1-740961	metag	86046275	metag	metag	metag	DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:10	manual	Illumina NovaSeq 6000	8.69	230428_JARVIS_HVWGWDSX5	DDC_AAACOSDA_1_HVWGWDSX5.UDI164;DDC_AAACOSDA_1_HVWGWDSX5.UDI218	DDC_AAABOSDA_2_HVWGWDSX5.UDI143;DDC_AAABOSDA_2_HVWGWDSX5.UDI217		Batch2	3	200	Batch2_230428	sample
1874687	marine plankton metagenome	EMOBON00190	EMOBON_ROSKOGO_Wa_211213_0.2um_1	EMOBON metagenome water sample from station ROSKOGO collected on 2021-12-13 size fraction 0.2-3um	EMOBON	2021-12-13	France	48.771667	-3.968333	marine biome [ENVO:00000447];marine pelagic biome [ENVO:01000023]	marine pelagic feature [ENVO:01000044];marine water body [ENVO:00001999];costal water body [ENVO:02000049]	seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042]	2	EMOBON_ROSKOGO_Wa_211213_0.2um_1																																											ROSKOGO	North Atlantic Ocean	English Channel	French part of the English Channel	60	flood_tide	7.5	Hand pump	WaSOP 1			high	EMOBON_ROSKOGO_Wa_211213_0.2um_1	https://www.protocols.io/view/cryogrinding-protocol-mecanic-lysis-of-planktonic-n92ldyq88l5b/v1; https://www.protocols.io/view/rna-dna-extraction-from-plankton-natural-samples-u-eq2lynz2qvx9/v1; https://www.fishersci.com/shop/products/nucleospin-rna-ii-740955-250/NC0707522; https://www.mn-net.com/lysis-buffer-ra1-740961	metag	73985609	metag	metag	metag	DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:10	manual	Illumina NovaSeq 6000	11.3	230428_JARVIS_HVWGWDSX5	DDC_AAACOSDA_1_HVWGWDSX5.UDI164;DDC_AAACOSDA_1_HVWGWDSX5.UDI218	DDC_AAABOSDA_2_HVWGWDSX5.UDI143;DDC_AAABOSDA_2_HVWGWDSX5.UDI217		Batch2	0.2	3	Batch2_230428	sample
1874687	marine plankton metagenome	EMOBON00191	EMOBON_ROSKOGO_Wa_211213_0.2um_2	EMOBON metagenome water sample from station ROSKOGO collected on 2021-12-13 size fraction 0.2-3um	EMOBON	2021-12-13	France	48.771667	-3.968333	marine biome [ENVO:00000447];marine pelagic biome [ENVO:01000023]	marine pelagic feature [ENVO:01000044];marine water body [ENVO:00001999];costal water body [ENVO:02000049]	seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042]	2	EMOBON_ROSKOGO_Wa_211213_0.2um_2																																											ROSKOGO	North Atlantic Ocean	English Channel	French part of the English Channel	60	flood_tide	7.5	Hand pump	WaSOP 1			high	EMOBON_ROSKOGO_Wa_211213_0.2um_2	https://www.protocols.io/view/cryogrinding-protocol-mecanic-lysis-of-planktonic-n92ldyq88l5b/v1; https://www.protocols.io/view/rna-dna-extraction-from-plankton-natural-samples-u-eq2lynz2qvx9/v1; https://www.fishersci.com/shop/products/nucleospin-rna-ii-740955-250/NC0707522; https://www.mn-net.com/lysis-buffer-ra1-740961	metag	62861286	metag	metag	metag	DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:10	manual	Illumina NovaSeq 6000	19.55	230428_JARVIS_HVWGWDSX5	DDC_AAACOSDA_1_HVWGWDSX5.UDI164;DDC_AAACOSDA_1_HVWGWDSX5.UDI218	DDC_AAABOSDA_2_HVWGWDSX5.UDI143;DDC_AAABOSDA_2_HVWGWDSX5.UDI217		Batch2	0.2	3	Batch2_230428	sample
1874687	marine plankton metagenome	EMOBON00130	EMOBON_BPNS_Wa_211028_3um_1	EMOBON metagenome water sample from station BPNS collected on 2021-10-28 size fraction 3-200um	EMOBON	2021-10-28	Belgium	51.433331	2.808331	marine biome [ENVO:00000447];marine pelagic biome [ENVO:01000023]	marine pelagic feature [ENVO:01000044];marine water body [ENVO:00001999];costal water body [ENVO:02000049]	seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042]	18.66	EMOBON_BPNS_Wa_211028_3um_1		HPLC	14.097	CTD	14.088	CTD	33.855	CTD	33.846	CTD			40702.400	CTD	1.025277	CTD			8.14	CTD	4.37	SEAL QuAAtro analysis system + Skalar AutoAnalyser system	0.42	SEAL QuAAtro analysis system + Skalar AutoAnalyser system											1.00014803849	CTD	Expected 12-2024	SEAL QuAAtro analysis system + Skalar AutoAnalyser system					BPNS	North Atlantic Ocean	North Sea	Belgian part of the North Sea	26	ebb_tide	10	Niskin Bottle	WaSOP1	MSO LifeWatch Lab -80 Freezer	-80	low	EMOBON_BPNS_Wa_211028_3um_1	https://www.protocols.io/view/cryogrinding-protocol-mecanic-lysis-of-planktonic-n92ldyq88l5b/v1; https://www.protocols.io/view/rna-dna-extraction-from-plankton-natural-samples-u-eq2lynz2qvx9/v1; https://www.fishersci.com/shop/products/nucleospin-rna-ii-740955-250/NC0707522; https://www.mn-net.com/lysis-buffer-ra1-740961	metag	67060829	metag	metag	metag	DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:10	manual	Illumina NovaSeq 6000	9.83	230428_JARVIS_HVWGWDSX5	DDC_AAACOSDA_1_HVWGWDSX5.UDI164;DDC_AAACOSDA_1_HVWGWDSX5.UDI218	DDC_AAABOSDA_2_HVWGWDSX5.UDI143;DDC_AAABOSDA_2_HVWGWDSX5.UDI217		Batch2	3	200	Batch2_230428	sample
