Checklist	ERC000021	GSC MIxS sediment																																																											
tax_id	scientific_name	sample_alias	sample_title	sample_description	project name	collection date	geographic location (country and/or sea)	geographic location (latitude)	geographic location (longitude)	broad-scale environmental context	local environmental context	environmental medium	elevation	depth	source material identifiers	sea surface temperature	sea surface temperature method	ph	ph method	sediment temperature	sediment temperature method	redox potential	redox potential method	chlorophyll	chlorophyll method	dissolved oxygen	dissolved oxygen method	pigments	pigments method	pressure	pressure method	salinity	salinity method	obs_id	geographic location (ocean)	geographic location (region and locality)	geographic location (locality)	total depth of water column	tidal stage information	sample collection device	sample material processing	sample storage location	sample storage temperature	tidal stage	nucleic acid extraction	nucleic acid amplification	library reads sequenced	target gene	target subfragment	pcr primers	pcr conditions	sequencing method	sequence quality check	relevant standard operating procedures	dna concentration	mock_pr	mock_eu	run	sequence_batch	sequence_batch_rundate	status
#units	 	 	 	 	 	 	 	DD	DD	 	 	 	m	m		ºC				ºC		mV		µg/L		µmol/kg		µg/L		atm		psu						m					°C												ng/µl						
412755	marine sediment metagenome	EMOBON00143	EMOBON_BPNS_So_211223_micro_2	EMOBON metagenome sediment sample from station BPNS collected on 2021-12-23 community collected micro	EMOBON	2021-12-23	Belgium	51.433331	2.808331	marine biome [ENVO:00000447];marine benthic biome[ENVO_01000024]	shallow_marine_sediment_[ENVO:03000034]	sediment [ENVO:00002007]	-21.2	21.2	EMOBON_BPNS_So_211223_micro_2		CTD broke and sea surface temperature could not be measured	5.96	Hanna Instruments 991001 ph meter		CTD broke and sediment temperature could not be measured						CTD broke and dissolved oxygen could not be measured				CTD broke and pressure could not be measured		CTD broke and sea surface salinity could not be measured	BPNS	North Atlantic Ocean	North Sea	Belgian part of the North Sea	26	ebb_tide	Van Veen Grab	SoSOP3	MSO LifeWatch Lab -80 Freezer	-80	low	https://www.qiagen.com/us/products/discovery-and-translational-research/dna-rna-purification/dna-purification/microbial-dna/dneasy-powersoil-pro-kit?catno=47016	metag	56995223	metag	metag	metag	DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:14	Illumina NovaSeq 6000	manual	Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II	0.311	DDC_AAAAOSDA_1_HCFCYDSX5.UDI137		230126_JARVIS_HCFCYDSX5	Batch2	Batch2_230126	sample
412755	marine sediment metagenome	EMOBON00092	EMOBON_RFormosa_So_210805_micro_1	EMOBON metagenome sediment sample from station RFormosa collected on 2021-08-05 community collected micro	EMOBON	2021-08-05	Portugal	37.005639	-7.96925	marine biome [ENVO:00000447];marine benthic biome[ENVO_01000024]	lagoon [ENVO_00000038];shallow_marine_sediment [ENVO:03000034]	lagoon [ENVO_00000038]; sediment [ENVO:00002007]	0	0	EMOBON_RFormosa_So_210805_micro_1	26.3	Thermo scientific  orion star A221	7.9	Thermo scientific  orion star A221	24	Thermo scientific  orion star A221	-101.7	Thermo scientific  orion star A221	21.69	Fluorometer 10-AU	271.875	YSI ProSolo Digital			0.998766	YSI ProSolo Digital	38.03	YSI ProSolo Digital	RFormosa	Atlantic Ocean	North Atlantic Ocean	Ria Formosa	0	low_tide	PVC core D50mm	SoSOP 1	Ed7, room 1.10, freezer #300387-118	-80	low	https://www.qiagen.com/us/products/discovery-and-translational-research/dna-rna-purification/dna-purification/microbial-dna/dneasy-powersoil-pro-kit?catno=47016	metag	61701779	metag	metag	metag	DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:10	Illumina NovaSeq 6000	manual	Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II	9.05	DDC_AAAAOSDA_1_HMNJKDSX3.UDI201		220712_JARVIS_HMNJKDSX3	Batch1	Batch1_220712	sample
412755	marine sediment metagenome	EMOBON00093	EMOBON_RFormosa_So_210805_micro_2	EMOBON metagenome sediment sample from station RFormosa collected on 2021-08-05 community collected micro	EMOBON	2021-08-05	Portugal	37.005639	-7.96925	marine biome [ENVO:00000447];marine benthic biome[ENVO_01000024]	lagoon [ENVO_00000038];shallow_marine_sediment [ENVO:03000034]	lagoon [ENVO_00000038]; sediment [ENVO:00002007]	0	0	EMOBON_RFormosa_So_210805_micro_2	26.3	Thermo scientific  orion star A221	7.9	Thermo scientific  orion star A221	24	Thermo scientific  orion star A221	-101.7	Thermo scientific  orion star A221	21.69	Fluorometer 10-AU	271.875	YSI ProSolo Digital			0.998766	YSI ProSolo Digital	38.03	YSI ProSolo Digital	RFormosa	Atlantic Ocean	North Atlantic Ocean	Ria Formosa	0	low_tide	PVC core D50mm	SoSOP 1	Ed7, room 1.10, freezer #300387-118	-80	low	https://www.qiagen.com/us/products/discovery-and-translational-research/dna-rna-purification/dna-purification/microbial-dna/dneasy-powersoil-pro-kit?catno=47016	metag	46798558	metag	metag	metag	DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:10	Illumina NovaSeq 6000	manual	Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II	1.17	DDC_AAAAOSDA_1_HMNJKDSX3.UDI201		220712_JARVIS_HMNJKDSX3	Batch1	Batch1_220712	sample
412755	marine sediment metagenome	EMOBON00224	EMOBON_RFormosa_So_211022_micro_1	EMOBON metagenome sediment sample from station RFormosa collected on 2021-10-22 community collected micro	EMOBON	2021-10-22	Portugal	37.005639	-7.96925	marine biome [ENVO:00000447];marine benthic biome[ENVO_01000024]	lagoon [ENVO_00000038];shallow_marine_sediment [ENVO:03000034]	lagoon [ENVO_00000038]; sediment [ENVO:00002007]	0	0	EMOBON_RFormosa_So_211022_micro_1	19.3	Thermo scientific  orion star A221	8	Thermo scientific  orion star A221	20	Thermo scientific  orion star A221	-88	Thermo scientific  orion star A221	8.8688	Fluorometer 10-AU	218.75	YSI ProSolo Digital			1.00528	YSI ProSolo Digital	36.95	YSI ProSolo Digital	RFormosa	Atlantic Ocean	North Atlantic Ocean	Ria Formosa	0	low_tide	PVC core D50mm	SoSOP 1	Ed7, room 1.10, freezer #300387-118	-80	low	https://www.qiagen.com/us/products/discovery-and-translational-research/dna-rna-purification/dna-purification/microbial-dna/dneasy-powersoil-pro-kit?catno=47016	metag	109807721	metag	metag	metag	DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:12	Illumina NovaSeq 6000	manual	Prod_ILL_BqADN_LowCost_148_v5; Bq low cost	14.95	DDC_AAAAOSDA_1_HCFCYDSX5.UDI137		230126_JARVIS_HCFCYDSX5	Batch2	Batch2_230126	sample
412755	marine sediment metagenome	EMOBON00225	EMOBON_RFormosa_So_211022_micro_2	EMOBON metagenome sediment sample from station RFormosa collected on 2021-10-22 community collected micro	EMOBON	2021-10-22	Portugal	37.005639	-7.96925	marine biome [ENVO:00000447];marine benthic biome[ENVO_01000024]	lagoon [ENVO_00000038];shallow_marine_sediment [ENVO:03000034]	lagoon [ENVO_00000038]; sediment [ENVO:00002007]	0	0	EMOBON_RFormosa_So_211022_micro_2	19.3	Thermo scientific  orion star A221	8	Thermo scientific  orion star A221	20	Thermo scientific  orion star A221	-88	Thermo scientific  orion star A221	8.8688	Fluorometer 10-AU	218.75	YSI ProSolo Digital			1.00528	YSI ProSolo Digital	36.95	YSI ProSolo Digital	RFormosa	Atlantic Ocean	North Atlantic Ocean	Ria Formosa	0	low_tide	PVC core D50mm	SoSOP 1	Ed7, room 1.10, freezer #300387-118	-80	low	https://www.qiagen.com/us/products/discovery-and-translational-research/dna-rna-purification/dna-purification/microbial-dna/dneasy-powersoil-pro-kit?catno=47016	metag	93602534	metag	metag	metag	DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:12	Illumina NovaSeq 6000	manual	Prod_ILL_BqADN_LowCost_148_v5; Bq low cost	12.8	DDC_AAAAOSDA_1_HCFCYDSX5.UDI137		230126_JARVIS_HCFCYDSX5	Batch2	Batch2_230126	sample
412755	marine sediment metagenome	EMOBON00226	EMOBON_RFormosa_So_211220_micro_1	EMOBON metagenome sediment sample from station RFormosa collected on 2021-12-20 community collected micro	EMOBON	2021-12-20	Portugal	37.005639	-7.96925	marine biome [ENVO:00000447];marine benthic biome[ENVO_01000024]	lagoon [ENVO_00000038];shallow_marine_sediment [ENVO:03000034]	lagoon [ENVO_00000038]; sediment [ENVO:00002007]	0	0	EMOBON_RFormosa_So_211220_micro_1	15	Thermo scientific  orion star A221	7.73	Thermo scientific  orion star A221	17.1	Thermo scientific  orion star A221	-70	Thermo scientific  orion star A221	3.98132	Fluorometer 10-AU	256.25	YSI ProSolo Digital			1.005181347	YSI ProSolo Digital	36.3	YSI ProSolo Digital	RFormosa	Atlantic Ocean	North Atlantic Ocean	Ria Formosa	0	low_tide	PVC core D50mm	SoSOP 1	Ed7, room 1.10, freezer #300387-118	-80	low	https://www.qiagen.com/us/products/discovery-and-translational-research/dna-rna-purification/dna-purification/microbial-dna/dneasy-powersoil-pro-kit?catno=47016	metag	96815702	metag	metag	metag	DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:12	Illumina NovaSeq 6000	manual	Prod_ILL_BqADN_LowCost_148_v5; Bq low cost	32.2	DDC_AAAAOSDA_1_HCFCYDSX5.UDI137		230126_JARVIS_HCFCYDSX5	Batch2	Batch2_230126	sample
412755	marine sediment metagenome	EMOBON00227	EMOBON_RFormosa_So_211220_micro_2	EMOBON metagenome sediment sample from station RFormosa collected on 2021-12-20 community collected micro	EMOBON	2021-12-20	Portugal	37.005639	-7.96925	marine biome [ENVO:00000447];marine benthic biome[ENVO_01000024]	lagoon [ENVO_00000038];shallow_marine_sediment [ENVO:03000034]	lagoon [ENVO_00000038]; sediment [ENVO:00002007]	0	0	EMOBON_RFormosa_So_211220_micro_2	15	Thermo scientific  orion star A221	7.73	Thermo scientific  orion star A221	17.1	Thermo scientific  orion star A221	-70	Thermo scientific  orion star A221	3.98132	Fluorometer 10-AU	256.25	YSI ProSolo Digital			1.005181347	YSI ProSolo Digital	36.3	YSI ProSolo Digital	RFormosa	Atlantic Ocean	North Atlantic Ocean	Ria Formosa	0	low_tide	PVC core D50mm	SoSOP 1	Ed7, room 1.10, freezer #300387-118	-80	low	https://www.qiagen.com/us/products/discovery-and-translational-research/dna-rna-purification/dna-purification/microbial-dna/dneasy-powersoil-pro-kit?catno=47016	metag	104137464	metag	metag	metag	DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:12	Illumina NovaSeq 6000	manual	Prod_ILL_BqADN_LowCost_148_v5; Bq low cost	15.45	DDC_AAAAOSDA_1_HCFCYDSX5.UDI137		230126_JARVIS_HCFCYDSX5	Batch2	Batch2_230126	sample
412755	marine sediment metagenome	EMOBON00001	EMOBON_OOB_So_210608_micro_1	EMOBON metagenome sediment sample from station OOB collected on 2021-06-08 community collected micro	EMOBON	2021-06-08	France	42.484167	3.135278	marine biome [ENVO:00000447];marine benthic biome[ENVO_01000024]	shallow_marine_sediment_[ENVO:03000034]	sediment [ENVO:00002007]	-27	27	EMOBON_OOB_So_210608_micro_1	18.75	Seabird SBE 911plus CTD	7.962	Consort multimeter C3016	18.66	Consort temperature compensator (ST10) PT1000											37.85	Seabird SBE 911plus CTD	OOB	Mediterranean Sea - Western Basin	Gulf of Lion	Bay of Banyuls-sur-Mer	27	no_tide	PVC sediment corer	SoSOP 2	room 213, freezer LECOB	-80		https://www.qiagen.com/us/products/discovery-and-translational-research/dna-rna-purification/dna-purification/microbial-dna/dneasy-powersoil-pro-kit?catno=47016	metag	58079642	metag	metag	metag	DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:10	Illumina NovaSeq 6000	manual	Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II	1.7	DDC_AAAAOSDA_1_HWLTKDRXY.UDI212	DDC_AAABOSDA_1_HWLTKDRXY.UDI213	220223_JARVIS_HWLTKDRXY	Batch1	Batch1_220223	sample
412755	marine sediment metagenome	EMOBON00242	EMOBON_OOB_So_211209_micro_1	EMOBON metagenome sediment sample from station OOB collected on 2021-12-09 community collected micro	EMOBON	2021-12-09	France	42.484167	3.135278	marine biome [ENVO:00000447];marine benthic biome[ENVO_01000024]	shallow_marine_sediment_[ENVO:03000034]	sediment [ENVO:00002007]	-27	27	EMOBON_OOB_So_211209_micro_1	14.56	Seabird SBE 911plus CTD	8.3	Consort multimeter C3016	14.39	Consort temperature compensator (ST10) PT1000											37.66	Seabird SBE 911plus CTD	OOB	Mediterranean Sea - Western Basin	Gulf of Lion	Bay of Banyuls-sur-Mer	27	no_tide	PVC sediment corer	SoSOP 2	room 213, freezer LECOB	-80		https://www.qiagen.com/us/products/discovery-and-translational-research/dna-rna-purification/dna-purification/microbial-dna/dneasy-powersoil-pro-kit?catno=47016	metag	81306548	metag	metag	metag	DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:11	Illumina NovaSeq 6000	manual	Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II	0.524	DDC_AAAAOSDA_1_HCFCYDSX5.UDI137		230126_JARVIS_HCFCYDSX5	Batch2	Batch2_230126	sample
412755	marine sediment metagenome	EMOBON00243	EMOBON_OOB_So_211209_micro_2	EMOBON metagenome sediment sample from station OOB collected on 2021-12-09 community collected micro	EMOBON	2021-12-09	France	42.484167	3.135278	marine biome [ENVO:00000447];marine benthic biome[ENVO_01000024]	shallow_marine_sediment_[ENVO:03000034]	sediment [ENVO:00002007]	-27	27	EMOBON_OOB_So_211209_micro_2	14.56	Seabird SBE 911plus CTD	8.3	Consort multimeter C3016	14.39	Consort temperature compensator (ST10) PT1000											37.66	Seabird SBE 911plus CTD	OOB	Mediterranean Sea - Western Basin	Gulf of Lion	Bay of Banyuls-sur-Mer	27	no_tide	PVC sediment corer	SoSOP 2	room 213, freezer LECOB	-80		https://www.qiagen.com/us/products/discovery-and-translational-research/dna-rna-purification/dna-purification/microbial-dna/dneasy-powersoil-pro-kit?catno=47016	metag	65464041	metag	metag	metag	DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:14	Illumina NovaSeq 6000	manual	Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II	0.275	DDC_AAAAOSDA_1_HCFCYDSX5.UDI137		230126_JARVIS_HCFCYDSX5	Batch2	Batch2_230126	sample
