old_source_mat_id,ref_code,ref_code_seq,ena_accession_number_sample,ena_accession_number_experiment_metag,ena_accession_number_run_metag,ena_accession_number_project,ena_accession_number_umbrella,biosamples_accession_number,source_mat_id
EMOBON_AAOT_Wa_211015_3um_1,EMOBON00162,,ERS20568997,ERX14293787,ERR14888796,PRJEB50566,PRJEB51688,SAMEA115828480,EMOBON_AAOT_Wa_41
EMOBON_AAOT_Wa_211015_3um_2,EMOBON00163,,ERS20568998,ERX14293788,ERR14888797,PRJEB50566,PRJEB51688,SAMEA115828481,EMOBON_AAOT_Wa_42
EMOBON_AAOT_Wa_211015_0.2um_1,EMOBON00164,,ERS20568999,ERX14293789,ERR14888798,PRJEB50566,PRJEB51688,SAMEA115828482,EMOBON_AAOT_Wa_46
EMOBON_AAOT_Wa_211015_0.2um_2,EMOBON00165,,ERS20569000,ERX14293790,ERR14888799,PRJEB50566,PRJEB51688,SAMEA115828483,EMOBON_AAOT_Wa_47
EMOBON_AAOT_Wa_211214_3um_1,EMOBON00166,,ERS20569001,ERX14293791,ERR14888800,PRJEB50566,PRJEB51688,SAMEA115828484,EMOBON_AAOT_Wa_61
EMOBON_AAOT_Wa_211214_3um_2,EMOBON00167,,ERS20569002,ERX14293792,ERR14888801,PRJEB50566,PRJEB51688,SAMEA115828485,EMOBON_AAOT_Wa_62
EMOBON_AAOT_Wa_211214_0.2um_1,EMOBON00168,,ERS20569003,ERX14293793,ERR14888802,PRJEB50566,PRJEB51688,SAMEA115828486,EMOBON_AAOT_Wa_66
EMOBON_AAOT_Wa_211214_0.2um_2,EMOBON00169,,ERS20569004,ERX14293794,ERR14888803,PRJEB50566,PRJEB51688,SAMEA115828487,EMOBON_AAOT_Wa_67
EMOBON_BPNS_So_211028_micro_1,EMOBON00140,,ERS20535373,ERX14293766,ERR14888775,PRJEB51652,PRJEB51688,SAMEA115809362,EMOBON_BPNS_So_17
EMOBON_BPNS_So_211028_micro_2,EMOBON00141,,ERS20535374,ERX14293767,ERR14888776,PRJEB51652,PRJEB51688,SAMEA115809363,EMOBON_BPNS_So_18
EMOBON_BPNS_So_211223_micro_1,EMOBON00142,,ERS20535375,ERX14293768,ERR14888777,PRJEB51652,PRJEB51688,SAMEA115809364,EMOBON_BPNS_So_33
EMOBON_BPNS_So_211223_micro_2,EMOBON00143,,ERS20535376,ERX14293769,ERR14888778,PRJEB51652,PRJEB51688,SAMEA115809365,EMOBON_BPNS_So_34
EMOBON_BPNS_Wa_211028_3um_1,EMOBON00130,,ERS20568937,ERX14293758,ERR14888767,PRJEB51652,PRJEB51688,SAMEA115828420,EMOBON_BPNS_Wa_41
EMOBON_BPNS_Wa_211028_3um_2,EMOBON00131,,ERS20568938,ERX14293759,ERR14888768,PRJEB51652,PRJEB51688,SAMEA115828421,EMOBON_BPNS_Wa_42
EMOBON_BPNS_Wa_211028_0.2um_1,EMOBON00132,,ERS20568939,ERX14293760,ERR14888769,PRJEB51652,PRJEB51688,SAMEA115828422,EMOBON_BPNS_Wa_46
EMOBON_BPNS_Wa_211028_0.2um_2,EMOBON00133,,ERS20568940,ERX14293761,ERR14888770,PRJEB51652,PRJEB51688,SAMEA115828423,EMOBON_BPNS_Wa_47
EMOBON_BPNS_Wa_211223_3um_1,EMOBON00136,,ERS20568941,ERX14293762,ERR14888771,PRJEB51652,PRJEB51688,SAMEA115828424,EMOBON_BPNS_Wa_61
